Account Name,Corporate Structure,Certified B Corp,State of Incorporation,Operating State/Province,Operating Country,Website
"Elt Therapeutics, Inc.",Benefit Corporation,FALSE,DE,,,
E-Mart LLC.,Benefit LLC,FALSE,OR,,,
"Emerald Broadband, LLC",Benefit LLC,FALSE,OR,,,
Emerald Pay Inc.,Benefit Corporation,FALSE,NV,,,
"Emergency Tooth Doctor Hillsboro, Prof. Corp.",Benefit Corporation,FALSE,OR,,,
Emergent Platforms PBC,Benefit Corporation,FALSE,DE,,,
Emerging Rule P.B.C.,Benefit Corporation,FALSE,DE,Virginia,United States,www.emergingrule.com
"Emerson Street House, LLC",Benefit LLC,FALSE,OR,,,
Emigrants. LLC,Benefit Corporation,FALSE,NJ,New Jersey,United States,
"Emily P Morton, LLC",Benefit LLC,FALSE,OR,,,
Emjay Incorporated,Benefit Corporation,FALSE,NV,,,
"Emmaus Construction, Inc.",Benefit Corporation,FALSE,NV,,,
Emory Knoll Farms,Benefit Corporation,FALSE,MD,Maryland,United States,
"Emp Technologies, Inc.",Benefit Corporation,FALSE,CO,,,
EMPATHeatre,Benefit Corporation,FALSE,MD,,United States,
"Empatheia, Specific Benefit Corporation",Benefit Corporation,FALSE,MN,Minnesota,United States,
"EMPIRE STATE RESTORATION, INC.",Benefit Corporation,FALSE,NY,,,
Empire Wireless Plus Inc,Benefit Corporation,FALSE,NY,,,
Empowered Learning LLC,Benefit Corporation,FALSE,OR,,,
"Empowered Strength, LLC",Benefit LLC,FALSE,OR,Oregon,United States,www.thumbtack.com/wa/kelso/personal-trainers/personal-training-life-coaching
Enablly Co.,Benefit Corporation,FALSE,IL,,,
"Encantos Media Studios, PBC",Benefit Corporation,FALSE,DE,California,United States,www.encantosmedia.com
Enchilada Express Inc,Benefit Corporation,FALSE,OR,,,
"Enda Athletic, Inc.",Benefit Corporation,FALSE,DE,,,www.endasportswear.com
Endeavor Enterprises LLC,Benefit LLC,FALSE,OR,,,
"Endian Bookbinding, LLC",Benefit LLC,FALSE,OR,,,
Energy Financing And Installation Public Benefit Corporation,Benefit Corporation,FALSE,DE,,,
"Energy Medicine Revolution, LlC",Benefit LLC,FALSE,OR,,,
Energy Movement Inc.,Benefit Corporation,FALSE,NV,Nevada,United States,
Energy Opportunities,Benefit Corporation,FALSE,PA,Pennsylvania,United States,www.sevengroup.com
English For A Song Inc.,Benefit Corporation,FALSE,DE,,,
"Enlighten Labs, Inc.",Benefit Corporation,FALSE,DE,,,
"Enlightened By God Ministries, Inc.",Benefit Corporation,FALSE,CO,,,
Enntelligence Inc.,Benefit Corporation,FALSE,DE,,,
"Enricosystems, Inc",Benefit Corporation,FALSE,NV,,,
Enroot Foods Public Benefit Corporation,Benefit Corporation,FALSE,DE,,,
"EnSave, Inc.",Benefit Corporation,FALSE,VT,,,
Enso LLC,Benefit LLC,FALSE,OR,Oregon,United States,www.ensocreations.com
Entenaf,Benefit Corporation,FALSE,MD,,,
Enterprise Development Corporation,Benefit Corporation,FALSE,MD,,,
"Entrust, Inc.",Benefit Corporation,FALSE,CO,Colorado,United States,
"Entryway Design Studio, P.B.C.",Benefit Corporation,FALSE,DE,,,
"Enventure Partners, Inc.",Benefit Corporation,FALSE,CA,California,United States,
Envest Microfinance Public Benefit Corporation,Benefit Corporation,FALSE,DE,,,
Envi Boutique,Benefit Corporation,FALSE,CO,,,
"Environmental & Energy Business Contracting, Inc.",Benefit Corporation,FALSE,OR,Oregon,United States,
Envoy Enterprises LLC,Benefit LLC,FALSE,OR,Oregon,United States,www.envoyenterprises.com
EO Products,Benefit Corporation,TRUE,CA,California,United States,www.eoproducts.com
Eon2 Inc,Benefit Corporation,FALSE,CO,,,
"ePBs.co, INC.",Benefit Corporation,FALSE,VT,,,www.epbs.co
Epic Colorz Inc,Benefit Corporation,FALSE,NV,Nevada,United States,
Epicadence PBC,Benefit Corporation,FALSE,DE,,United States,
Epicurean Edibles LLC,Benefit LLC,FALSE,OR,,,
"Epigenetic Data Sciences, Inc.",Benefit Corporation,FALSE,DE,,,
"Epigrammar, Inc.",Benefit Corporation,FALSE,DE,,,
"Epr Technology Solutions, PBC",Benefit Corporation,FALSE,DE,,,
"Epstein Patierno, P.C.",Benefit Corporation,FALSE,CO,,,
Equal Pay Company,Benefit Corporation,FALSE,DE,,,
"Equator Coffees & Teas, Inc.",Benefit Corporation,TRUE,CA,California,United States,equatorcoffees.com
Equifi Corporation,Benefit Corporation,FALSE,DE,Delaware,United States,www.villadelosgatos.com
Equilibrium,Benefit LLC,TRUE,OR,Oregon,United States,www.eq-cap.com/
Equiti P.B.C.,Benefit Corporation,FALSE,DE,,,
Equity Atlas Inc,Benefit Corporation,FALSE,OR,,,
Equity Improvements LLC,Benefit LLC,FALSE,OR,,,
"ER Assist, Inc.",Benefit Corporation,FALSE,AR,Arkansas,United States,www.erassist.com
Erbaviva,Benefit Corporation,TRUE,CA,California,United States,erbaviva.com
"Eric Anderson Tech Co., Limited",Benefit Corporation,FALSE,OR,,,
Eric'S Custom Knives LLC,Benefit LLC,FALSE,OR,Oregon,United States,www.ebcustomknives.com
Esaha Inc.,Benefit Corporation,FALSE,DE,,,
"Escape The City, Inc.",Benefit Corporation,FALSE,DE,,,
"Eskabubble, Inc.",Benefit Corporation,FALSE,VA,,,
Esperanza Benefit Corporation,Benefit Corporation,FALSE,OR,,,
Esprit De Corps Corporation,Benefit Corporation,FALSE,NV,Nevada,United States,
Essential Import Export Inc.,Benefit Corporation,FALSE,NV,,,
"Essential Lending, Inc.",Benefit Corporation,FALSE,UT,Utah,United States,
Esther Glen Farm And Winery LLC,Benefit LLC,FALSE,OR,,,
Estovega Inc.,Benefit Corporation,FALSE,NV,,,
Estrellitas Childcare LLC,Benefit LLC,FALSE,OR,,,
"ET Holding, Inc.",Benefit Corporation,FALSE,VA,,,
"Eternity Development, Inc.",Benefit Corporation,FALSE,NV,,,
Ethen Inc.,Benefit Corporation,FALSE,NV,,,
Ethereal Digital,Benefit Corporation,FALSE,CA,California,United States,
Etheric Corporation,Benefit Corporation,FALSE,OR,,,
Ethics Consulting For Health Pbc,Benefit Corporation,FALSE,DE,,,
"Ethics Of Liberty, LLC",Benefit LLC,FALSE,OR,,,
Ethos Rx,Benefit Corporation,FALSE,FL,Florida,United States,www.ethosrx.com
E-Trianc Co.,Benefit Corporation,FALSE,NV,,,
Eugene Tiny Homes LLC,Benefit LLC,FALSE,OR,,,
Eurocar Inc,Benefit Corporation,FALSE,NV,Nevada,United States,
Eurotech Design Inc.,Benefit Corporation,FALSE,NV,,,
Evans Engineering And Consulting LLC,Benefit LLC,FALSE,OR,,,
evelina eco events,Benefit Corporation,TRUE,CA,California,United States,www.evelinaecoevents.com
Event Services Oregon LLC,Benefit LLC,FALSE,OR,Oregon,United States,
Events by Lady K GBC,Benefit Corporation,FALSE,MN,Minnesota,United States,
Eventsdonerite,Benefit Corporation,FALSE,CA,California,United States,
Everest Receivable Services Inc.,Benefit Corporation,FALSE,NV,Nevada,United States,
Everett Ebenezer Consulting Inc.,Benefit Corporation,FALSE,NV,,,
"Evergreen Equities, Public Benefit Corporation",Benefit Corporation,FALSE,DE,Kochi,India,www.evergreen-equities.com
"Evergreen Sun Power, LLC",Benefit Corporation,FALSE,CO,Colorado,United States,www.evergreensunpower.com
Everson Technology Ltd,Benefit Corporation,FALSE,NV,,,
Everyday Beautiful Human,Benefit Corporation,FALSE,AZ,Arizona,United States,www.everydaybeautifulhuman.com
Everyday Ventures Corp,Benefit Corporation,FALSE,NV,,,
Everytable,Benefit Corporation,FALSE,DE,California,United States,www.everytable.com
Evi Developer Rating Index,Benefit LLC,FALSE,MD,,,
Evisionauto Inc,Benefit Corporation,FALSE,OR,,,
"Evochem, Inc.",Benefit Corporation,FALSE,NV,Nevada,United States,
Evolution Networks Inc,Benefit Corporation,FALSE,NV,,,
"Evolutionr, Inc.",Benefit Corporation,FALSE,DE,,,www.evolutionr.org
Evolve Naturals (Nv) Ltd.,Benefit Corporation,FALSE,NV,,,
Evopolis Inc.,Benefit Corporation,FALSE,DE,,,
"Evox Omnimedia, PBC",Benefit Corporation,FALSE,DE,California,United States,www.evoxtelevision.com
Evox Television,Benefit Corporation,TRUE,DE,California,United States,evoxtelevision.com
Evryman Inc.,Benefit Corporation,FALSE,DE,,,
Ewall Trucks Inc.,Benefit Corporation,FALSE,NV,Nevada,United States,
Excel Education Inc.,Benefit Corporation,FALSE,NV,,,
"Excel Hospice And Palliative Care, LLC",Benefit LLC,FALSE,OR,,,
EXCELLENT SOUND & LIGHTING INC,Benefit Corporation,FALSE,NY,,,
Excelsior Business Solutions Inc.,Benefit Corporation,FALSE,CO,,,
Executive Ecoscaping Inc,Benefit Corporation,FALSE,CT,Connecticut,United States,
EXPEDIA EASY AUTO DRIVING INC.,Benefit Corporation,FALSE,NY,,,
Expert Logistics Inc,Benefit Corporation,FALSE,NV,Nevada,United States,
Explormor Interactives PBC,Benefit Corporation,FALSE,DE,,,
Exponent Partners,Benefit Corporation,TRUE,CA,California,United States,www.exponentpartners.com
"EXPRESS REAL ESTATE, INC.",Benefit Corporation,FALSE,NY,,,
Express Trimmers Staffing LLC,Benefit LLC,FALSE,OR,,,
Expresslist Inc.,Benefit Corporation,FALSE,SC,,,
Eyebrow on Fourteen Inc.,Benefit Corporation,FALSE,NY,,,
Ezenziaa Consulting LLC,Benefit LLC,FALSE,OR,,,
"Ezrakai, Inc.",Benefit Corporation,FALSE,HI,,,
Ezza Rose Band LLC,Benefit LLC,FALSE,OR,,,
F & L Ohana Corporation,Benefit Corporation,FALSE,NV,,,
F & M Boutique LLC,Benefit LLC,FALSE,OR,,,
F and H Motors Inc,Benefit Corporation,FALSE,NH,New Hampshire,United States,
F.E.A.S.T. 365 INTERNATIONAL INC.,Benefit Corporation,FALSE,NY,,,
"Fabienne Photography & Design, LLC",Benefit LLC,FALSE,OR,,,www.fabiennephotography.com
Fabrication Nation,Benefit Corporation,FALSE,CO,,,
Facil Credit Repair Inc,Benefit Corporation,FALSE,NY,,,
Factor(E) Ventures,Benefit Corporation,FALSE,DE,Colorado,United States,www.factoreventures.org
"Factory Obscura, Inc.",Benefit Corporation,FALSE,DE,,,
"Facts Of Business, Inc.",Benefit Corporation,FALSE,CO,,,
"Fair Flies, LLC",Benefit LLC,FALSE,OR,Oregon,United States,fairflies.com
"Fair Rent, Inc.",Benefit Corporation,FALSE,DE,,,
"Fair Ride, Co.",Benefit Corporation,FALSE,DE,,,
"Fair Trade Platform, Inc.",Benefit Corporation,FALSE,OR,,,
"Fair Trails Enterprises, Inc.",Benefit Corporation,FALSE,NV,Nevada,United States,www.tuffjug.com
Fairfix Ct Inc,Benefit Corporation,FALSE,CT,Conneticut,,
Falcon Floral Inc.,Benefit Corporation,FALSE,CO,,,
FAMILITA CORPORATION,Benefit Corporation,FALSE,NY,,,
Family Service Day,Benefit Corporation,FALSE,VA,Virginia,United States,www.americanprideautomotive.com
Family Style Management Inc,Benefit Corporation,FALSE,NV,,,
"Family Time Vacation Rentals, LLC",Benefit LLC,FALSE,OR,Oregon,United States,www.familytimevacationrentals.com
Family Works Inc.,Benefit Corporation,FALSE,OR,,,
Fan 7 Inc,Benefit Corporation,FALSE,OR,,,
Fantasia Usa Production Inc.,Benefit Corporation,FALSE,NV,,,
Fantastic Lv Tour Inc,Benefit Corporation,FALSE,NV,,,
Fantasy Empire Inc.,Benefit Corporation,FALSE,CO,Colorado,United States,
Fareway Farms Corporation,Benefit Corporation,FALSE,OR,,,
Farm From A Box,Benefit Corporation,FALSE,CA,,United States,www.facebook.com/farmfromabox
FARM TO TABLE COMMUNITY INC.,Benefit Corporation,FALSE,NY,,,
Farmers Diet Inc.,Benefit Corporation,FALSE,DE,,United States,farmersdiet.co
"Farmfollow, Public Benefit Corporation",Benefit Corporation,FALSE,DE,,,farmfollow.com
Farmigo,Benefit Corporation,FALSE,DE,New York,United States,farmigo.com
FARR ASSOCIATES,Benefit Corporation,FALSE,IL,Illinois,United States,www.farrside.com
"Farwest Steel Contracting, Inc.",Benefit Corporation,FALSE,OR,,,
Farwest Steel Corporation,Benefit Corporation,FALSE,OR,,,
Farwest Steel Post Tensioning Company,Benefit Corporation,FALSE,OR,,,
"Farwest Steel Properties, Inc.",Benefit Corporation,FALSE,OR,,,
Farwest Steel Reinforcing Company,Benefit Corporation,FALSE,OR,,,
Fast Track Lexury Cars & Co,Benefit Corporation,FALSE,CO,,,
Fast Trucking Inc,Benefit Corporation,FALSE,NV,Nevada,United States,
Fastel Corporation,Benefit Corporation,FALSE,PA,Pennsylvania,United States,
Fasttrack Motors LLC,Benefit LLC,FALSE,OR,Oregon,United States,
Fat Cat International Inc.,Benefit Corporation,FALSE,NV,,,
Father & Figure,Benefit Corporation,FALSE,NY,New York,United States,www.fatherandfigure.com
"Father + Figure, PBC",Benefit Corporation,FALSE,DE,New York,United States,fatherfigure.co
Fathom PBC,Benefit Corporation,FALSE,DE,Tennessee,United States,www.fathomcomputing.com
FAUBERT LERICHE TAXI SERVICES INC,Benefit Corporation,FALSE,NY,,,
Faultline Talent Entertainment Inc,Benefit Corporation,FALSE,NV,,,
Faya! Designs Inc,Benefit Corporation,FALSE,NV,,,
Fco Enterprises Inc,Benefit Corporation,FALSE,NV,,,
Fengze International Corp.,Benefit Corporation,FALSE,NV,,,
Fers Brunch And Lunch LLC,Benefit LLC,FALSE,OR,,,
Fertility Funds PBC,Benefit Corporation,FALSE,DE,,,
Feruz Transport Inc,Benefit Corporation,FALSE,NY,,,
"Ff Collective, PBC",Benefit Corporation,FALSE,DE,,,
FGS&Co.,Benefit Corporation,FALSE,DE,California,United States,www.forgoodsake.org
Fibonacci Framing LLC,Benefit LLC,FALSE,OR,,,
Fibonacci Media Co.,Benefit Corporation,FALSE,UT,,,
Fide PBC,Benefit Corporation,FALSE,DE,Florida,United States,www.fidepbc.com/en
"Fiducian, Inc.",Benefit Corporation,FALSE,UT,Utah,United States,
Field Scope Int Ltd,Benefit Corporation,FALSE,NV,,,
Fifo Home Services Inc,Benefit Corporation,FALSE,CO,Colorado,United States,
Filamenta,Benefit LLC,FALSE,OR,,,www.filamentadvisors.com
Finally Together Quilt Shop LLC,Benefit LLC,FALSE,OR,,,
Financial Accountants,Benefit Corporation,FALSE,CO,,,
"Findshadow, PBC",Benefit Corporation,FALSE,DE,,,
Fine Source Investment & Development Corp,Benefit Corporation,FALSE,NV,,,
"FinGenix, PBC",Benefit Corporation,FALSE,DE,Pennsylvania,United States,
"Finger Lakes Biochar, Inc.",Benefit Corporation,FALSE,NY,,,
"Finsavvy, PBC",Benefit Corporation,FALSE,DE,,,
Finslide Technology Corp.,Benefit Corporation,FALSE,NY,New York,United States,finslide.com
"Fiorente Media, Inc.",Benefit Corporation,FALSE,MA,Massachusetts,United States,www.fiorentemedia.com
Fire Arrest Systems Technology,Benefit Corporation,FALSE,CO,Colorado,United States,
Fireclay Tile,Benefit Corporation,TRUE,CA,California,United States,www.fireclaytile.com
Firespring,Benefit Corporation,TRUE,NE,Nebraska,United States,firespring.com
"Firmtech Labs, LLC",Benefit LLC,FALSE,OR,,,
"First Aid for Nurses, SBC",Benefit Corporation,FALSE,NY,Minnesota,United States,www.firstaidfornurses.org/
"First First, LLC",Benefit LLC,FALSE,OR,,,
First S Corporation Pbc,Benefit Corporation,FALSE,DE,,,
Fishpeople,Benefit Corporation,TRUE,DE,Oregon,United States,www.fishpeopleseafood.com
"Fit & Fierce, LLC",Benefit LLC,FALSE,OR,,,
"FitColorado, Inc.",Benefit Corporation,FALSE,CO,,,
Fitiargi Traders Inc.,Benefit Corporation,FALSE,NV,,,
Fitv Media Group Inc,Benefit Corporation,FALSE,NV,,,
"Five-Leaf Remedies, Inc.",Benefit Corporation,FALSE,PA,,,
Flare Consulting Inc,Benefit Corporation,FALSE,UT,Utah,United States,
Flash Detail LLC,Benefit LLC,FALSE,OR,,,
"Flat Stone Logistics, LLC",Benefit LLC,FALSE,OR,,,
Flat White Corporation,Benefit Corporation,FALSE,CO,Colorado,United States,
Flatirons Diagnostics Inc.,Benefit Corporation,FALSE,CO,,,
"Fletcher Chouindard Designs, Inc.",Benefit Corporation,FALSE,CA,California,United States,www.fcdsurfboards.com
"Flight Therapy, LLC",Benefit LLC,FALSE,OR,,,
Float North LLC,Benefit LLC,FALSE,OR,,,
FloBeds,Benefit Corporation,TRUE,CA,California,United States,www.flobeds.com
"Flooid Power Systems, Inc.",Benefit Corporation,FALSE,DE,,,
"Flooring Install America, Inc.",Benefit Corporation,FALSE,CO,,,
"Floreana Amasen, PBC",Benefit Corporation,FALSE,DE,,United States,www.iamfloreana.com/#!brand/clpc
Flores Landcare L.L.C.,Benefit Corporation,FALSE,OR,,,
"Florida Family & Children Constitutional Coalition, PBC",Benefit Corporation,FALSE,DE,,,
Flovegas Transport Inc,Benefit Corporation,FALSE,NV,,,
Flowers With Heart LLC,Benefit LLC,FALSE,OR,,,
FlowPoint PBC,Benefit Corporation,FALSE,DE,,,
"Fluree, PBC",Benefit Corporation,FALSE,DE,,,
Flying Fish Company LLC,Benefit LLC,FALSE,OR,Oregon,United States,www.flyingfishcompany.com
Flyjet Usa Inc,Benefit Corporation,FALSE,NY,,,
Fmyi,Benefit Corporation,FALSE,OR,Oregon,United States,www.fmyi.com
Focus Foods Inc,Benefit Corporation,FALSE,PA,,United States,
Focus LLC,Benefit LLC,FALSE,OR,,,
"Focus On Art And Music Education, LLC",Benefit LLC,FALSE,OR,,,
Focused Mission Inc.,Benefit Corporation,FALSE,FL,,,
Follow My Vote,Benefit Corporation,FALSE,VA,,,
Food By Dave LLC,Benefit LLC,FALSE,OR,Oregon,United States,
"Food for the Heart, Inc.",Benefit Corporation,FALSE,CA,California,United States,
For All Humankind,Benefit Corporation,FALSE,CT,Connecticut,United States,
Forbidden 4 Bakery LLC,Benefit LLC,FALSE,OR,Oregon,United States,
Forbidden Root Benefit LLC,Benefit LLC,FALSE,MD,Illinois,United States,www.forbiddenroot.com
"Forcier Excavation, Inc.",Benefit Corporation,FALSE,NH,New Hampshire,United States,
Foreclosure And Real Estate Cleanup LLC,Benefit LLC,FALSE,OR,,,
Forest Creek Farms LLC,Benefit LLC,FALSE,OR,,,www.forestcreekfarm.com
Forest Fund,Benefit Corporation,FALSE,FL,Florida,United States,
Forouz LLC,Benefit LLC,FALSE,OR,,,
Forsei Consulting,Benefit Corporation,FALSE,PA,Pennsylvania,United States,forseiconsulting.com
"Fort Collins Charter Service, Inc.",Benefit Corporation,FALSE,CO,Colorado,United States,
Forte Awards Benefit Corporation,Benefit Corporation,FALSE,NV,,,
ForTheGood PBC,Benefit Corporation,FALSE,DE,Washington,United States,
"Forward Hydroponics, LLC",Benefit LLC,FALSE,OR,,,
"Forzaone, Inc.",Benefit Corporation,FALSE,NV,Nevada,United States,
Foster the Children,Benefit Corporation,FALSE,UT,Utah,United States,
"Founderstood, Incorporated",Benefit Corporation,FALSE,CT,,,
Foundhuman PBC,Benefit Corporation,FALSE,DE,Massachusetts,United States,foundhuman.com
FOUR D'S TRANSPORTATION INC,Benefit Corporation,FALSE,NY,,,
Four Media Inc,Benefit Corporation,FALSE,NV,,,
Four Seasons Concrete Construction Inc.,Benefit Corporation,FALSE,NY,,,
Four20 Nursery LLC,Benefit Corporation,FALSE,OR,,,
Fraction LLC,Benefit LLC,FALSE,OR,,,
Framework Group Inc.,Benefit Corporation,FALSE,VT,,,
Frank Derasmo INC,Benefit Corporation,FALSE,NY,,,
Frank Holliday Studios inc.,Benefit Corporation,FALSE,NY,,,
Fredrick Ogbesons Inc.,Benefit Corporation,FALSE,NV,,,
Free Spirit Colorado Pbc,Benefit Corporation,FALSE,CO,Colorado,United States,
Free2Be Community,Benefit Corporation,FALSE,VA,Virginia,United States,
Freedom Express Inc,Benefit Corporation,FALSE,NV,,,
Freely Collective,Benefit Corporation,FALSE,VA,Virginia,United States,
Freeroot Ventures Inc.,Benefit Corporation,FALSE,OR,,,
Freevi Lab,Benefit Corporation,FALSE,NV,,,
"Freeway Health Services, Inc.",Benefit Corporation,FALSE,NV,Nevada,United States,
FreeWill,Benefit Corporation,FALSE,DE,California,United States,
"Fresh Asia, LLC",Benefit Corporation,FALSE,OR,,,
"Fresh Communications, Inc.",Benefit Corporation,FALSE,MA,,,
Fresh Meat & Bakery LLC,Benefit LLC,FALSE,OR,,,
FRESH TAKE MARKETING INC,Benefit Corporation,FALSE,NY,,,
Freshlook Painting LLC,Benefit LLC,FALSE,OR,Oregon,United States,
Friendly Auto and Body inc,Benefit Corporation,FALSE,NY,,,
Friendly Move Management LLC,Benefit Corporation,FALSE,OR,,,
"Friends Of Nbs, Inc.",Benefit Corporation,FALSE,NV,Nevada,United States,
Friends Of The Concourse Inc.,Benefit Corporation,FALSE,DE,,,
Friendz Trading Inc.,Benefit Corporation,FALSE,NY,,,
Frontier Sand Company,Benefit Corporation,FALSE,CO,,,
"Frontline Trade, LLC",Benefit LLC,FALSE,OR,,,
Fruit Street Health,Benefit Corporation,FALSE,DE,California,United States,fruitstreet.com
Fruitea Inc,Benefit Corporation,FALSE,NV,,,
"Fruitrade International, Inc.",Benefit Corporation,FALSE,NV,Nevada,United States,
Fsba1,Benefit Corporation,FALSE,NV,,,
Fsquare Global,Benefit LLC,FALSE,MD,,,
"Functional Mobilwear, PBC",Benefit Corporation,FALSE,DE,,,
Fund Anyone Inc.,Benefit Corporation,FALSE,NV,,,
Funeh African Hair Braiding Corp,Benefit Corporation,FALSE,NV,,,
"Furnexo, PBC",Benefit Corporation,FALSE,DE,,,
"Fusion Flying Disc, PBC",Benefit Corporation,FALSE,CO,,,
Fusion Transportation Inc.,Benefit Corporation,FALSE,NY,,,
Future State,Benefit Corporation,TRUE,CA,California,United States,www.futurestate.com
Fxloveu,Benefit Corporation,FALSE,NV,,,
"Fynnn, LLC",Benefit Corporation,FALSE,OR,,,
"Fynnpdx, LLC",Benefit Corporation,FALSE,OR,,,
G & H Sound Communications Inc.,Benefit Corporation,FALSE,NV,,,
G C Cab Services LLC,Benefit LLC,FALSE,OR,,,
G L Wallace Construction LLC,Benefit Corporation,FALSE,OR,Oregon,United States,
G Motoring Corporation,Benefit Corporation,FALSE,NV,,,
G. Pagani Management I Inc.,Benefit Corporation,FALSE,NV,,,
G.C.S. Landscape Maintenance LLC,Benefit LLC,FALSE,OR,,,
G.L. Martin Properties Inc.,Benefit Corporation,FALSE,NV,,,
G2V Productions LLC,Benefit LLC,FALSE,OR,Oregon,United States,g2vpodcast.com
Gache Corp.,Benefit Corporation,FALSE,NV,Nevada,United States,
"Gacovino & More - Multimedia Production Services, Inc.",Benefit Corporation,FALSE,NV,Nevada,United States,
Gad Freeman Development Corp,Benefit Corporation,FALSE,NY,,,
Gaia Gives Inc.,Benefit Corporation,FALSE,HI,Hawaii,United States,
Gaia Regenesis,Benefit Corporation,FALSE,CO,Colorado,United States,
Gakt Inc.,Benefit Corporation,FALSE,NV,,,
Galactic Lion Entertainment LLC,Benefit LLC,FALSE,OR,,,
Galago Inc.,Benefit Corporation,FALSE,NV,,,
Galaxy Labor Force Inc,Benefit Corporation,FALSE,NV,,,
Galaxy S Limousine,Benefit Corporation,FALSE,CO,Colorado,United States,
Galvan Corporation,Benefit Corporation,FALSE,NV,,,
Game Gurus LLC,Benefit LLC,FALSE,OR,,,
Gameday 2 Go Inc,Benefit Corporation,FALSE,NV,,,
"GameTree, PBC",Benefit Corporation,FALSE,DE,,,www.gametree.me
Gandy Dancer LLC,Benefit LLC,FALSE,OR,,,
"Ganesh, Inc.",Benefit Corporation,FALSE,CO,Colorado,United States,
Garden Plaza,Benefit Corporation,FALSE,NV,Nevada,United States,
Garden Rhythm LLC,Benefit LLC,FALSE,OR,,,
Gary Community Investment Company,Benefit Corporation,FALSE,DE,,,
Garylee Corp.,Benefit Corporation,FALSE,NV,,,
Gas Beverages Inc,Benefit Corporation,FALSE,NV,,,
"Gateway For Good, PBC",Benefit Corporation,FALSE,DE,,,
"Gay Travel Exchange, Inc.",Benefit Corporation,FALSE,CA,California,United States,gaytravelexchange.com
"Ge2P2 Global Advisory Services, PBC",Benefit Corporation,FALSE,DE,,,
"Gedi, Inc.",Benefit Corporation,FALSE,OR,,,
Gelfand Partners Architects,Benefit Corporation,TRUE,CA,California,United States,www.gelfand-partners.com
Genco Usa Corporation,Benefit Corporation,FALSE,NV,,,
Geneopedia Corp,Benefit Corporation,FALSE,NY,,,
"General Astronautics Research Corporation, PBC",Benefit Corporation,FALSE,DE,,,
"General Bueno, Benefit LLC",Benefit LLC,FALSE,MD,Maryland,United States,
"Generation Genius, Inc.",Benefit Corporation,FALSE,DE,,,
Generational Technology LLC,Benefit LLC,FALSE,OR,,,
"Genesis Investigative Research Services, Inc.",Benefit Corporation,FALSE,CO,,,
Genesis Project214,Benefit Corporation,FALSE,IL,Illinois,United States,
Genius Box,Benefit Corporation,FALSE,CT,CATANIA,Italy,
Geoguides,Benefit Corporation,FALSE,CA,,,
"GeoSciTech, PBC",Benefit Corporation,FALSE,DE,,,
Get Human Foundation A Public Benefit Corporation,Benefit Corporation,FALSE,CO,,,
Get It N Entertainment LLC,Benefit LLC,FALSE,OR,,,
Get It There Express Inc,Benefit Corporation,FALSE,CO,,,
Get it There Express Inc.,Benefit Corporation,FALSE,CO,,United States,
"Get It-Got It-Gone, LLC",Benefit Corporation,FALSE,OR,,,
Get Moist Stay Moist LLC,Benefit Corporation,FALSE,OR,,,
Get That You Matter,Benefit Corporation,FALSE,CA,,United States,www.getthatyoumatter.com
Gforce Mme LLC,Benefit LLC,FALSE,OR,,,
Gh Enterprise Inc,Benefit Corporation,FALSE,NV,,,
Giant Sequoia Investments Nj Inc.,Benefit Corporation,FALSE,NV,,,
"Gibbs M. Smith, Inc.",Benefit Corporation,FALSE,UT,Utah,United States,
Giga Solar FPC,Benefit Corporation,FALSE,CA,California,United States,
"Gigabe, Inc",Benefit Corporation,FALSE,CO,,,
"Giig.Me, PBC",Benefit Corporation,FALSE,DE,,,www.hirenotes.com
"Gilded Rogue Enterprises, LLC",Benefit LLC,FALSE,OR,Oregon,United States,www.gildedrogue.com
"Giles Enterprises, Inc.",Benefit Corporation,FALSE,CO,,,
"Ginjoint, Inc.",Benefit Corporation,FALSE,OR,Oregon,United States,
Gino Tires & Auto Care Inc,Benefit Corporation,FALSE,NV,,,
Ginos Concrete Inc,Benefit Corporation,FALSE,CO,,,
Girl Magic,Benefit Corporation,FALSE,CA,California,United States,
Give Brands,Benefit Corporation,FALSE,CA,California,United States,
Give Something Back Workplace Solutions,Benefit Corporation,TRUE,CA,California,United States,givesomethingback.com
Givel Co Pbc,Benefit Corporation,FALSE,DE,,,
"Giving Assistant, Inc.",Benefit Corporation,TRUE,DE,California,United States,www.givingassistant.org
GladRags,Benefit LLC,TRUE,OR,Oregon,United States,www.gladrags.com
"Gladrags Sustainable Women'S Health, LLC",Benefit Corporation,FALSE,OR,,,
gladys rojas rojas pharmacy inc,Benefit Corporation,FALSE,NY,,,
Glam4Good P.B.C.,Benefit Corporation,FALSE,DE,New York,United States,glam4good.com
Glass City LLC,Benefit LLC,FALSE,OR,,,
"Global Alliance, PBC",Benefit Corporation,FALSE,DE,,,
"Global Brigades Ventures, Inc.",Benefit Corporation,FALSE,CA,California,United States,www.globalbrigades.org
"Global Citizen Enterprises, Inc.",Benefit Corporation,FALSE,OR,Ourense,,
"Global Community Dev'T, Inc.",Benefit Corporation,FALSE,NV,,,
Global Distributors LLC,Benefit LLC,FALSE,OR,,,
"Global Energy Management, Inc.",Benefit Corporation,FALSE,NV,,,
Global Enterprise International,Benefit Corporation,FALSE,CO,,,
"Global Green Group, Inc.",Benefit Corporation,FALSE,NV,,,
Global Homestead LLC,Benefit LLC,FALSE,OR,,,
